meta_url,name,num,lat,lon,junk
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANR,ANTELOPE RIDGE,5650,40.155,120.542 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANT,ANTELOPE LAKE,4960,40.18,120.607 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ANZ,ANZA,3920,33.558,116.673 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APH,ALPHA,7600,38.805,120.215 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=API,ALPINE,2041,32.834,116.739 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APN,ALPINE LAKE,654,37.94,122.637 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APP,ANTIOCH PUMP PLANT,60,37.984,121.728 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=APU,ANGWIN PACIFIC UNION COL,1815,38.567,122.433 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AQD,L A AQUEDUCT INTAKE,3841,99.999,999.999 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARC,MAD RIVER NEAR ARCATA,33,40.91,124.06 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARD,ARCADE CREEK AT SUNRISE BLVD,22,38.684,121.271 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARG,ARROYO GRANDE,600,35.117,120.417 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARM,ARROYO MOCHO NEAR LIVERMORE,746,37.626,121.704 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARP,SO FRK AMERICAN R NR PILOT HILL,500,38.763,121.007 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARR,LAKE ARROWHEAD,5205,34.25,117.183 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARS,ARROWHEAD SPRINGS HOTEL,2000,34.184,117.264 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARW,ARDEN WAY,35,38.596,121.413 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ARY,ARROYO SECO,980,36.23,121.488 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASC,ASH CREEK (USFS),3200,41.27,121.978 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASH,ASH CREEK,5000,41.4,122.05 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASM,ASH MOUNTAIN,1708,36.483,118.833 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASP,ARROYO SECO (PASADENA),1398,34.222,118.177 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASS,ARROYO SECO NR SOLEDAD,399,36.281,121.322 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AST,AUSTRIAN,1125,37.132,121.93 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ASV,AMERICAN-SF SILVER CREEK,5290,38.819,120.364 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ATL,ATLAS PEAK,1660,38.433,122.25 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ATN,LAKE SAN ANTONIO,779,35.798,120.883 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ATP,ANTHONY PEAK,6200,39.842,122.95 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ATS,ANTELOPE SPRINGS,4350,38.503,120.467 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=ATW,ATWELL CAMP,6400,36.464,118.631 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AUB,AUBURN,1292,38.917,121.083 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AVL,ARROYO VALLE NR LIVERMORE,510,37.623,121.758 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AWB,AMERICAN RIVER BELOW WATT AVE BRIDGE,50,38.567,121.387 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=AWP,AMERICAN RIVER AT WILLIAM B POND PARK,45,38.591,121.332 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAC,BACON ISLAND AT OLD RIVER,0,37.972,121.571 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAL,BALCH PH (PG&E),1720,36.909,119.089 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAM,BALD MOUNTAIN (KERN CO),8290,36.02,118.279 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAR,BEAR,319,37.367,120.217 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAS,SOUTH FORK BATTLE CREEK NEAR MANTON,997,40.406,121.98 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAT,BATTLE CREEK,200,40.399,122.145 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BAW,BROKEN ARROW RANCH,3083,37.524,121.512 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBD,BUTTE CREEK NEAR DE SABLA,2141,39.901,121.623 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBE,BIG BEAR LAKE,6790,34.247,116.891 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBR,BIEBER,4NW 4195,41.12,121.13 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBS,BEAR BASIN,6500,40.967,122.867 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBV,BURBANK VALLEY PUMP PLAN,655,99.999,999.999 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BBW,BW-12 IMPORT TO BUTTE CREEK,2882,39.885,121.597 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BC2,BOCA,2,5900,39.375,120.092 
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCA,BOCA,5575,39.383,120.1 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCB,BLACKCAP BASIN,10300,37.067,118.77 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCC,BLACK CREEK NR COPPEROPOLIS,746,37.961,120.614 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCD,BUTTE CREEK NR DURHAM,190,39.678,121.777 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCG,BUTTE CREEK NEAR GRIDLEY,55,39.362,121.892 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCH,BEACH MEADOWS,7650,36.127,118.293 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCK,BUTTE CREEK NR CHICO,300,39.726,121.709 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCL,BUCKS LAKE STORAGE,5168,39.897,121.202 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCM,BRUSH CREEK (DWR-2),3560,39.694,121.34 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCN,BURRO CANYON BAER,2121,34.246,117.838 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCO,SOUTH FORK BIG RIVER NEAR COMPTCHE,510,39.23,123.463 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCP,BROWNS CAMP,5400,39.9,121.257 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCR,BRUSH CREEK RS,3520,39.69,121.34 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCS,BACK CANYON (SOUTH),3490,35.309,118.36 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCW,BULL CREEK NEAR WEOTT,269,40.351,124.003 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BCY,BUCKEYE ROUGHS,7900,38.188,119.442 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDC,BOULDER CREEK,800,37.142,122.163 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDD,BIG DALTON DAM,1587,34.17,117.808 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDE,BODIE,8370,38.217,119.017 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDF,BADGER FLAT,8300,37.265,119.108 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDG,BRIDGEPORT R S,6470,38.25,119.233 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDL,BELDON LANDING,0,38.187,121.969 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDM,BALD MOUNTAIN (USBR),4720,37.067,119.4 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDP,BRIDGEPORT RESERVOIR,6466,38.325,119.211 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDR,BLUE DOOR,5900,41.056,120.336 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BDY,BRANDY CREEK,1300,40.617,122.567 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BEC,BELL CANYON,750,33.552,117.573 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BEG,BEAR RIDGE,7400,37.037,119.087 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BEM,BELL MEADOW,6500,38.167,119.942 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BEN,MOKELUMNE R NR THORNTON (BENSONS FERRY)',0,38.256,121.439 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BER,BERRYESSA,456,38.513,122.104 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BET,BETHEL ISLAND,9,38.042,121.642 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BEV,SOUTH CANAL FROM BEAR RIVER,1980,39.133,120.953 ,
http://cdec.water.ca.gov/cgi-progs/staMeta?station_id=BFC,BUFFALO CREEK,3900,40.5819,119.79 ,
